Department,Category,Month,Budget,Actual,Currency
Sales,Revenue,Jan 2022,525555,552775,USD
Sales,Revenue,Feb 2022,542529,601335,USD
Sales,Revenue,Mar 2022,579226,557434,USD
Sales,Revenue,Apr 2022,407498,438361,USD
Sales,Revenue,May 2022,259618,210431,USD
Sales,Revenue,Jun 2022,530406,659774,USD
Sales,Revenue,Jul 2022,293837,270880,USD
Sales,Revenue,Aug 2022,522545,541322,USD
Sales,Revenue,Sep 2022,487296,532540,USD
Sales,Revenue,Oct 2022,534834,473517,USD
Sales,Revenue,Nov 2022,476440,405384,USD
Sales,Revenue,Dec 2022,260395,215978,USD
Sales,Revenue,Jan 2023,415113,365888,USD
Sales,Revenue,Feb 2023,493959,472690,USD
Sales,Revenue,Mar 2023,492576,613233,USD
Sales,Revenue,Apr 2023,565806,641050,USD
Sales,Revenue,May 2023,486706,535320,USD
Sales,Revenue,Jun 2023,577375,435281,USD
Sales,Revenue,Jul 2023,424826,464011,USD
Sales,Revenue,Aug 2023,583619,500944,USD
Sales,Revenue,Sep 2023,589454,698028,USD
Sales,Revenue,Oct 2023,270646,313619,USD
Sales,Revenue,Nov 2023,256157,283124,USD
Sales,Revenue,Dec 2023,431400,479783,USD
Sales,Revenue,Jan 2024,584625,632786,USD
Sales,Revenue,Feb 2024,263302,243807,USD
Sales,Revenue,Mar 2024,555704,670952,USD
Sales,Revenue,Apr 2024,289939,267941,USD
Sales,Revenue,May 2024,456620,520378,USD
Sales,Revenue,Jun 2024,432183,480569,USD
Sales,Revenue,Jul 2024,526589,620868,USD
Sales,Revenue,Aug 2024,335668,289153,USD
Sales,Revenue,Sep 2024,404764,313352,USD
Sales,Revenue,Oct 2024,524395,528079,USD
Sales,Revenue,Nov 2024,591954,637980,USD
Sales,Revenue,Dec 2024,553490,553432,USD
Sales,COGS,Jan 2022,193045,183063,USD
Sales,COGS,Feb 2022,190148,164657,USD
Sales,COGS,Mar 2022,171315,151300,USD
Sales,COGS,Apr 2022,105732,124781,USD
Sales,COGS,May 2022,151673,164538,USD
Sales,COGS,Jun 2022,100931,112670,USD
Sales,COGS,Jul 2022,156412,175696,USD
Sales,COGS,Aug 2022,164003,168073,USD
Sales,COGS,Sep 2022,161727,199602,USD
Sales,COGS,Oct 2022,184128,176761,USD
Sales,COGS,Nov 2022,126877,134376,USD
Sales,COGS,Dec 2022,103368,105885,USD
Sales,COGS,Jan 2023,66903,79238,USD
Sales,COGS,Feb 2023,175657,199861,USD
Sales,COGS,Mar 2023,159806,153730,USD
Sales,COGS,Apr 2023,162416,194901,USD
Sales,COGS,May 2023,151244,138709,USD
Sales,COGS,Jun 2023,172204,140159,USD
Sales,COGS,Jul 2023,195609,238545,USD
Sales,COGS,Aug 2023,139766,135147,USD
Sales,COGS,Sep 2023,167430,139629,USD
Sales,COGS,Oct 2023,153846,121182,USD
Sales,COGS,Nov 2023,72193,65662,USD
Sales,COGS,Dec 2023,192585,162382,USD
Sales,COGS,Jan 2024,133314,147168,USD
Sales,COGS,Feb 2024,114792,121482,USD
Sales,COGS,Mar 2024,152754,117096,USD
Sales,COGS,Apr 2024,171648,140239,USD
Sales,COGS,May 2024,73220,73201,USD
Sales,COGS,Jun 2024,84256,96806,USD
Sales,COGS,Jul 2024,75940,61131,USD
Sales,COGS,Aug 2024,176155,147402,USD
Sales,COGS,Sep 2024,67311,70402,USD
Sales,COGS,Oct 2024,153806,162020,USD
Sales,COGS,Nov 2024,86522,73958,USD
Sales,COGS,Dec 2024,153303,169895,USD
Sales,Operating Expenses,Jan 2022,136285,104938,USD
Sales,Operating Expenses,Feb 2022,199380,199445,USD
Sales,Operating Expenses,Mar 2022,143109,123623,USD
Sales,Operating Expenses,Apr 2022,190077,214911,USD
Sales,Operating Expenses,May 2022,161057,155386,USD
Sales,Operating Expenses,Jun 2022,106945,88006,USD
Sales,Operating Expenses,Jul 2022,147179,166110,USD
Sales,Operating Expenses,Aug 2022,120754,144058,USD
Sales,Operating Expenses,Sep 2022,86617,93271,USD
Sales,Operating Expenses,Oct 2022,84006,74654,USD
Sales,Operating Expenses,Nov 2022,75379,71413,USD
Sales,Operating Expenses,Dec 2022,94430,117301,USD
Sales,Operating Expenses,Jan 2023,181947,189141,USD
Sales,Operating Expenses,Feb 2023,131599,119972,USD
Sales,Operating Expenses,Mar 2023,138861,172949,USD
Sales,Operating Expenses,Apr 2023,156862,165274,USD
Sales,Operating Expenses,May 2023,145363,131862,USD
Sales,Operating Expenses,Jun 2023,120167,91418,USD
Sales,Operating Expenses,Jul 2023,180458,188272,USD
Sales,Operating Expenses,Aug 2023,139768,115670,USD
Sales,Operating Expenses,Sep 2023,138521,145180,USD
Sales,Operating Expenses,Oct 2023,98094,118840,USD
